Player_Name,Matches,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Best_Bowling,Best_Bowling_Match,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate
Harshal Patel,93,14,236,184,0,0,15,14,20,0,1915,2764,114,2,1,"(5, 27)",5/27,2.9873417721518987,128.26086956521738,24.24561403508772,8.660052219321148,16.79824561403509
Harshit Rana,9,1,2,3,0,0,0,0,3,0,156,231,9,0,0,"(3, 33)",3/33,0.25,66.66666666666666,25.666666666666668,8.884615384615385,17.333333333333332
Heinrich Klaasen,20,3,577,339,1,3,37,34,6,5,0,0,0,0,0,"(0, 0)",0/0,33.94117647058823,170.20648967551622,0.0,0.0,0.0
Himanshu Sharma,1,0,0,0,0,0,0,0,0,0,18,28,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,9.333333333333334,0.0
Ishan Kishan,92,6,2324,1735,0,15,220,103,42,5,0,0,0,0,0,"(0, 0)",0/0,27.023255813953487,133.94812680115274,0.0,0.0,0.0
Ishant Sharma,71,17,56,62,0,0,4,2,9,0,2165,2925,84,0,1,"(5, 12)",5/12,1.037037037037037,90.32258064516128,34.82142857142857,8.106235565819862,25.773809523809526
Jake Fraser-McGurk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Jasprit Bumrah,121,21,58,67,0,0,4,1,15,0,2766,3392,148,2,1,"(5, 10)",5/10,0.58,86.56716417910447,22.91891891891892,7.357917570498915,18.68918918918919
Jayant Yadav,20,1,40,36,0,0,2,1,8,0,390,445,8,0,0,"(1, 8)",1/8,2.1052631578947367,111.11111111111111,55.625,6.846153846153846,48.75
Jaydev Unadkat,94,14,173,140,0,0,14,6,26,0,1944,2870,91,0,2,"(5, 25)",5/25,2.1625,123.57142857142858,31.53846153846154,8.858024691358025,21.36263736263736
Jhathavedh Subramanyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Jhye Richardson,3,0,15,24,0,0,2,0,1,0,66,117,3,0,0,"(2, 41)",2/41,5.0,62.5,39.0,10.636363636363637,22.0
Jitesh Sharma,28,3,579,370,0,0,46,35,16,4,0,0,0,0,0,"(0, 0)",0/0,23.16,156.48648648648648,0.0,0.0,0.0
Jonny Bairstow,41,3,1308,914,1,9,137,55,21,4,0,0,0,0,0,"(0, 0)",0/0,34.421052631578945,143.10722100656454,0.0,0.0,0.0
Jos Buttler,97,10,3234,2182,5,19,321,149,53,1,0,0,0,0,0,"(0, 0)",0/0,37.172413793103445,148.21264894592116,0.0,0.0,0.0
Joshua Little,10,0,0,0,0,0,0,0,5,0,204,294,7,0,0,"(2, 25)",2/25,0.0,0.0,42.0,8.647058823529411,29.142857142857142
K.S Bharat,10,2,199,163,0,1,12,8,4,1,0,0,0,0,0,"(0, 0)",0/0,24.875,122.08588957055215,0.0,0.0,0.0
KL Rahul,119,20,4221,3141,4,34,359,170,63,5,0,0,0,0,0,"(0, 0)",0/0,42.63636363636363,134.3839541547278,0.0,0.0,0.0
Kagiso Rabada,71,11,186,179,0,0,16,6,25,0,1614,2257,109,6,0,"(4, 21)",4/21,3.1,103.91061452513965,20.706422018348626,8.390334572490707,14.807339449541285
Kane Williamson,77,17,2101,1667,0,18,182,64,39,0,18,31,0,0,0,"(0, 0)",0/0,35.016666666666666,126.03479304139171,0.0,10.333333333333334,0.0
Karn Sharma,76,15,319,276,0,0,18,14,14,0,1363,1857,70,2,0,"(4, 16)",4/16,5.229508196721311,115.57971014492753,26.52857142857143,8.17461482024945,19.47142857142857
Kartik Tyagi,19,3,13,16,0,0,1,0,3,0,398,662,15,0,0,"(2, 29)",2/29,0.8125,81.25,44.13333333333333,9.979899497487438,26.533333333333335
Khaleel Ahmed,44,0,1,7,0,0,0,0,3,0,1000,1445,59,0,0,"(3, 21)",3/21,0.022727272727272728,14.285714285714285,24.491525423728813,8.67,16.949152542372882
Krishnappa Gowtham,35,9,247,148,0,0,15,17,20,0,576,779,21,0,0,"(2, 12)",2/12,9.5,166.89189189189187,37.095238095238095,8.114583333333334,27.428571428571427
Krunal Pandya,114,31,1517,1140,0,1,136,56,44,0,1948,2370,70,0,0,"(3, 14)",3/14,18.27710843373494,133.0701754385965,33.857142857142854,7.2997946611909645,27.82857142857143
Kuldeep Sen,9,1,0,3,0,0,0,0,3,0,169,265,8,1,0,"(4, 20)",4/20,0.0,0.0,33.125,9.408284023668639,21.125
Kuldeep Yadav,74,19,137,177,0,0,10,2,18,0,1512,2036,73,3,0,"(4, 14)",4/14,2.4909090909090907,77.40112994350282,27.89041095890411,8.079365079365079,20.71232876712329
Kumar Kartikeya Singh,12,0,9,12,0,0,1,0,1,0,234,329,10,0,0,"(2, 22)",2/22,0.75,75.0,32.9,8.435897435897436,23.4
Kumar Kushagra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Kunal Rathore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Kyle Mayers,13,0,379,263,0,4,38,22,2,0,42,59,0,0,0,"(0, 0)",0/0,29.153846153846153,144.106463878327,0.0,8.428571428571429,0.0
Lalit Yadav,25,5,295,278,0,0,26,7,16,0,270,369,10,0,0,"(2, 11)",2/11,14.75,106.11510791366908,36.9,8.2,27.0
Liam Livingstone,34,5,883,534,0,6,61,63,17,0,186,309,8,0,0,"(3, 27)",3/27,30.448275862068964,165.35580524344567,38.625,9.96774193548387,23.25
Lockie Ferguson,38,7,67,45,0,0,6,2,5,0,811,1171,37,1,0,"(4, 28)",4/28,2.161290322580645,148.88888888888889,31.64864864864865,8.663378545006166,21.91891891891892
Luke Wood,1,0,0,0,0,0,0,0,0,0,12,25,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,12.5,0.0
M. Siddharth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
MS Dhoni,252,87,5082,3739,0,24,349,239,144,42,0,0,0,0,0,"(0, 0)",0/0,30.8,135.91869483819204,0.0,0.0,0.0
Maheesh Theekshana,23,1,7,7,0,0,0,1,3,0,528,689,23,1,0,"(4, 33)",4/33,0.3181818181818182,100.0,29.956521739130434,7.829545454545454,22.956521739130434
Mahipal Lomror,31,5,419,313,0,1,26,22,7,0,84,109,1,0,0,"(1, 22)",1/22,16.115384615384617,133.86581469648561,109.0,7.785714285714286,84.0
Manav Suthar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Manish Pandey,170,27,3808,3148,1,22,333,108,82,0,0,0,0,0,0,"(0, 0)",0/0,26.62937062937063,120.96569250317661,0.0,0.0,0.0
Manoj Bhandage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Marco Jansen,19,6,49,54,0,0,4,1,9,0,408,626,19,0,0,"(3, 25)",3/25,3.769230769230769,90.74074074074075,32.94736842105263,9.205882352941176,21.473684210526315
Marcus Stoinis,83,20,1481,1055,0,7,111,75,20,0,719,1148,39,1,0,"(4, 15)",4/15,23.50793650793651,140.37914691943126,29.435897435897434,9.579972183588318,18.435897435897434
